θ,SC,BCC,FCC
18.73873873873874,2.690152184992696,1.9882161132871725,2.5208272370355425
18.91891891891892,2.49517981193249,2.26662910527253,2.5604523415019367
19.0990990990991,2.350736749639855,2.333224080879153,2.5572702890974295
19.27927927927928,2.4121428196154895,2.43995598111443,2.848133355926375
19.45945945945946,2.3445859608325135,2.7349828393019378,2.7552440311646214
19.63963963963964,2.088352006969703,2.3845600758400263,2.4773396556171736
19.81981981981982,2.4513852591166487,2.433402714669536,2.729064516253176
20.0,2.74225453266463,2.9737449324609133,2.588634047473972
20.18018018018018,2.392758166496755,2.209517390915851,2.3289639786231935
20.36036036036036,2.849592373632527,1.7085630267262422,2.355389171764182
20.54054054054054,2.450350782356549,2.571909702401501,1.6170051022141887
20.72072072072072,2.6527809265063267,2.4914629765847405,2.3702764318271097
20.9009009009009,2.4575796518771678,2.3423945797490537,2.382690575660512
21.08108108108108,2.5967709447124303,2.2859674954873173,2.3220910850512513
21.26126126126126,2.396520023975554,2.816685726580085,2.376083024814432
21.44144144144144,2.290840065686494,2.5808086826150447,2.4491369973602604
21.62162162162162,2.4482343933209116,2.1368452897797137,2.31654832597899
21.8018018018018,2.3466028621096426,2.7514665688324573,2.4098219501558718
21.98198198198198,2.4838597907438897,2.547598193109323,2.5592329598533916
22.16216216216216,2.107786247651122,2.714688283919735,3.015903077238649
22.342342342342345,2.5598274587343317,2.3624469575948637,2.2291632326314113
22.522522522522525,2.32646389327534,1.9977153754003403,2.68074422969403
22.7027027027027,1.975342269732623,2.635534957796268,2.3753482751210435
22.882882882882882,2.3657137700049873,2.6304776099071696,2.6677570908008543
23.063063063063062,2.5624602286892526,3.003290823875155,2.2223942090403144
23.243243243243246,2.465068245117482,2.369688338524649,2.776141398465087
23.423423423423426,2.5087714469693263,2.539891570934256,2.5184529684593455
23.603603603603602,2.709321429002384,2.726779485909815,2.2495809636267365
23.783783783783782,2.5667195416671387,2.2578387444084864,2.6376864698698252
23.963963963963963,1.9878791247944259,2.47136186379829,2.714084054941584
24.144144144144146,2.4911920077787273,2.786744377137368,2.336099527167618
24.324324324324326,1.9230380907642173,2.7048405976909606,2.552308265901407
24.504504504504506,2.497550127032224,2.4415945447718035,2.22743438194677
24.684684684684683,2.5408383399814993,2.545241390136488,2.8376583797954695
24.864864864864863,2.9902778787040605,2.654570241938951,2.8143204801117445
25.045045045045047,2.5895212048955702,2.3533804310465616,2.2357675088508966
25.225225225225227,2.8503418284572777,2.545316303039419,2.8562827836026043
25.405405405405407,2.7772694676106164,2.478200715878457,2.3374148842676723
25.585585585585584,3.0917509440190685,2.9352368777690305,2.5983978173328537
25.765765765765764,3.2409126083393054,2.2196959708181456,3.0799006914756064
